The capital city of Abkhazia	The capital city of Abkhazia is Sukhumi.
The capital city of Afghanistan	The capital city of Afghanistan is Kabul.
The capital city of Akrotiri and Dhekelia	The capital city of Akrotiri and Dhekelia is Episkopi Cantonment.
The capital city of Albania	The capital city of Albania is Tirana.
The capital city of Algeria	The capital city of Algeria is Algiers.
The capital city of American Samoa	The capital city of American Samoa is Pago Pago.
The capital city of Andorra	The capital city of Andorra is Andorra la Vella.
The capital city of Angola  The capital city of Angola is Luanda.
The capital city of Anguilla	The capital city of Anguilla is The Valley.
The capital city of Antigua and Barbuda	The capital city of Antigua and Barbuda is St. John's.
The capital city of Argentina	The capital city of Argentina is Buenos Aires.
The capital city of Armenia	The capital city of Armenia is Yerevan.
The capital city of Aruba	The capital city of Aruba is Oranjestad.
The capital city of Ascension Island	The capital city of Ascension Island is Georgetown.
The capital city of Australia	The capital city of Australia is Canberra.
The capital city of Austria	The capital city of Austria is Vienna.
The capital city of Azerbaijan	The capital city of Azerbaijan is Baku.
The capital city of Bahamas	The capital city of Bahamas is Nassau.
The capital city of Bahrain	The capital city of Bahrain is Manama.
The capital city of Bangladesh	The capital city of Bangladesh is Dhaka.
The capital city of Barbados	The capital city of Barbados is Bridgetown.
The capital city of Belarus	The capital city of Belarus is Minsk.
The capital city of Belgium	The capital city of Belgium is Brussels.
The capital city of Belize	The capital city of Belize is Belmopan.
The capital city of Benin	The capital city of Benin is Porto-Novo.
The capital city of Bermuda	The capital city of Bermuda is Hamilton.
The capital city of Bhutan	The capital city of Bhutan is Thimphu.
The capital city of Bolivia	The capital city of Bolivia is Sucre.
The capital city of Bolivia	The capital city of Bolivia is La Paz.
The capital city of Bosnia and Herzegovina	The capital city of Bosnia and Herzegovina is Sarajevo.
The capital city of Botswana	The capital city of Botswana is Gaborone.
The capital city of Brazil	The capital city of Brazil is Brasília.
The capital city of British Virgin Islands	The capital city of British Virgin Islands is Road Town.
The capital city of Brunei	The capital city of Brunei is Bandar Seri Begawan.
The capital city of Bulgaria	The capital city of Bulgaria is Sofia.
The capital city of Burkina Faso	The capital city of Burkina Faso is Ouagadougou.
The capital city of Burundi	The capital city of Burundi is Bujumbura.
The capital city of Cambodia	The capital city of Cambodia is Phnom Penh.
The capital city of Cameroon	The capital city of Cameroon is Yaoundé.
The capital city of Canada	The capital city of Canada is Ottawa.
The capital city of Cape Verde	The capital city of Cape Verde is Praia.
The capital city of Cayman Islands	The capital city of Cayman Islands is George Town.
The capital city of Central African Republic	The capital city of Central African Republic is Bangui.
The capital city of Chad	The capital city of Chad is N'Djamena.
The capital city of Chile	The capital city of Chile is Santiago.
The capital city of China	The capital city of China is Beijing.
The capital city of Christmas Island	The capital city of Christmas Island is Flying Fish Cove.
The capital city of Cocos (Keeling) Islands	The capital city of Cocos (Keeling) Islands is West Island.
The capital city of Colombia	The capital city of Colombia is Bogotá.
The capital city of Comoros	The capital city of Comoros is Moroni.
The capital city of Cook Islands	The capital city of Cook Islands is Avarua.
The capital city of Costa Rica	The capital city of Costa Rica is San José.
The capital city of Croatia	The capital city of Croatia is Zagreb.
The capital city of Cuba	The capital city of Cuba is Havana.
The capital city of Curaçao	The capital city of Curaçao is Willemstad.
The capital city of Cyprus	The capital city of Cyprus is Nicosia.
The capital city of Czech Republic	The capital city of Czech Republic is Prague.
The capital city of Côte d'Ivoire	The capital city of Côte d'Ivoire is Yamoussoukro.
The capital city of Democratic Republic of the Congo	The capital city of Democratic Republic of the Congo is Kinshasa.
The capital city of Denmark	The capital city of Denmark is Copenhagen.
The capital city of Djibouti	The capital city of Djibouti is Djibouti.
The capital city of Dominica	The capital city of Dominica is Roseau.
The capital city of Dominican Republic	The capital city of Dominican Republic is Santo Domingo.
The capital city of East Timor (Timor-Leste)	The capital city of East Timor (Timor-Leste) is Dili.
The capital city of Easter Island	The capital city of Easter Island is Hanga Roa.
The capital city of Ecuador	The capital city of Ecuador is Quito.
The capital city of Egypt	The capital city of Egypt is Cairo.
The capital city of El Salvador	The capital city of El Salvador is San Salvador.
The capital city of Equatorial Guinea	The capital city of Equatorial Guinea is Malabo.
The capital city of Eritrea	The capital city of Eritrea is Asmara.
The capital city of Estonia	The capital city of Estonia is Tallinn.
The capital city of Ethiopia	The capital city of Ethiopia is Addis Ababa.
The capital city of Falkland Islands	The capital city of Falkland Islands is Stanley.
The capital city of Faroe Islands	The capital city of Faroe Islands is Tórshavn.
The capital city of Federated States of Micronesia	The capital city of Federated States of Micronesia is Palikir.
The capital city of Fiji	The capital city of Fiji is Suva.
The capital city of Finland	The capital city of Finland is Helsinki.
The capital city of France	The capital city of France is Paris.
The capital city of French Guiana	The capital city of French Guiana is Cayenne.
The capital city of French Polynesia	The capital city of French Polynesia is Papeete.
The capital city of Gabon	The capital city of Gabon is Libreville.
The capital city of Gambia	The capital city of Gambia is Banjul.
The capital city of Georgia	The capital city of Georgia is Tbilisi.
The capital city of Germany	The capital city of Germany is Berlin.
The capital city of Ghana	The capital city of Ghana is Accra.
The capital city of Gibraltar	The capital city of Gibraltar is Gibraltar.
The capital city of Greece	The capital city of Greece is Athens.
The capital city of Greenland	The capital city of Greenland is Nuuk.
The capital city of Grenada	The capital city of Grenada is St. George's.
The capital city of Guam	The capital city of Guam is Hagåtña.
The capital city of Guatemala	The capital city of Guatemala is Guatemala City.
The capital city of Guernsey	The capital city of Guernsey is St. Peter Port.
The capital city of Guinea	The capital city of Guinea is Conakry.
The capital city of Guinea-Bissau	The capital city of Guinea-Bissau is Bissau.
The capital city of Guyana	The capital city of Guyana is Georgetown.
The capital city of Haiti	The capital city of Haiti is Port-au-Prince.
The capital city of Honduras	The capital city of Honduras is Tegucigalpa.
The capital city of Hungary	The capital city of Hungary is Budapest.
The capital city of Iceland	The capital city of Iceland is Reykjavík.
The capital city of India	The capital city of India is New Delhi.
The capital city of Indonesia	The capital city of Indonesia is Jakarta.
The capital city of Iran	The capital city of Iran is Tehran.
The capital city of Iraq	The capital city of Iraq is Baghdad.
The capital city of Ireland	The capital city of Ireland is Dublin.
The capital city of Isle of Man	The capital city of Isle of Man is Douglas.
The capital city of Israel	The capital city of Israel is Jerusalem.
The capital city of Italy	The capital city of Italy is Rome.
The capital city of Jamaica	The capital city of Jamaica is Kingston.
The capital city of Japan	The capital city of Japan is Tokyo.
The capital city of Jersey	The capital city of Jersey is St. Helier.
The capital city of Jordan	The capital city of Jordan is Amman.
The capital city of Kazakhstan	The capital city of Kazakhstan is Astana.
The capital city of Kenya	The capital city of Kenya is Nairobi.
The capital city of Kiribati	The capital city of Kiribati is Tarawa.
The capital city of Kosovo	The capital city of Kosovo is Pristina.
The capital city of Kuwait	The capital city of Kuwait is Kuwait City.
The capital city of Kyrgyzstan	The capital city of Kyrgyzstan is Bishkek.
The capital city of Laos	The capital city of Laos is Vientiane.
The capital city of Latvia	The capital city of Latvia is Riga.
The capital city of Lebanon	The capital city of Lebanon is Beirut.
The capital city of Lesotho	The capital city of Lesotho is Maseru.
The capital city of Liberia	The capital city of Liberia is Monrovia.
The capital city of Libya	The capital city of Libya is Tripoli.
The capital city of Liechtenstein	The capital city of Liechtenstein is Vaduz.
The capital city of Lithuania	The capital city of Lithuania is Vilnius.
The capital city of Luxembourg	The capital city of Luxembourg is Luxembourg.
The capital city of Macedonia	The capital city of Macedonia is Skopje.
The capital city of Madagascar	The capital city of Madagascar is Antananarivo.
The capital city of Malawi	The capital city of Malawi is Lilongwe.
The capital city of Malaysia	The capital city of Malaysia is Kuala Lumpur.
The capital city of Maldives	The capital city of Maldives is Malé.
The capital city of Mali	The capital city of Mali is Bamako.
The capital city of Malta	The capital city of Malta is Valletta.
The capital city of Marshall Islands	The capital city of Marshall Islands is Majuro.
The capital city of Mauritania	The capital city of Mauritania is Nouakchott.
The capital city of Mauritius	The capital city of Mauritius is Port Louis.
The capital city of Mexico	The capital city of Mexico is Mexico City.
The capital city of Moldova	The capital city of Moldova is Chisinau.
The capital city of Monaco	The capital city of Monaco is Monaco.
The capital city of Mongolia	The capital city of Mongolia is Ulaanbaatar.
The capital city of Montenegro	The capital city of Montenegro is Podgorica.
The capital city of Montserrat	The capital city of Montserrat is Plymouth.
The capital city of Morocco	The capital city of Morocco is Rabat.
The capital city of Mozambique	The capital city of Mozambique is Maputo.
The capital city of Myanmar	The capital city of Myanmar is Naypyidaw.
The capital city of Nagorno-Karabakh Republic	The capital city of Nagorno-Karabakh Republic is Stepanakert.
The capital city of Namibia	The capital city of Namibia is Windhoek.
The capital city of Nauru	The capital city of Nauru is Yaren.
The capital city of Nepal	The capital city of Nepal is Kathmandu.
The capital city of Netherlands	The capital city of Netherlands is Amsterdam.
The capital city of New Caledonia	The capital city of New Caledonia is Nouméa.
The capital city of New Zealand	The capital city of New Zealand is Wellington.
The capital city of Nicaragua	The capital city of Nicaragua is Managua.
The capital city of Niger	The capital city of Niger is Niamey.
The capital city of Nigeria	The capital city of Nigeria is Abuja.
The capital city of Niue	The capital city of Niue is Alofi.
The capital city of Norfolk Island	The capital city of Norfolk Island is Kingston.
The capital city of North Korea	The capital city of North Korea is Pyongyang.
The capital city of Northern Cyprus	The capital city of Northern Cyprus is Nicosia.
The capital city of United Kingdom Northern Ireland	The capital city of United Kingdom Northern Ireland is Belfast.
The capital city of Northern Mariana Islands	The capital city of Northern Mariana Islands is Saipan.
The capital city of Norway	The capital city of Norway is Oslo.
The capital city of Oman	The capital city of Oman is Muscat.
The capital city of Pakistan	The capital city of Pakistan is Islamabad.
The capital city of Palau	The capital city of Palau is Ngerulmud.
The capital city of Palestine	The capital city of Palestine is Jerusalem.
The capital city of Panama	The capital city of Panama is Panama City.
The capital city of Papua New Guinea	The capital city of Papua New Guinea is Port Moresby.
The capital city of Paraguay	The capital city of Paraguay is Asunción.
The capital city of Peru	The capital city of Peru is Lima.
The capital city of Philippines	The capital city of Philippines is Manila.
The capital city of Pitcairn Islands	The capital city of Pitcairn Islands is Adamstown.
The capital city of Poland	The capital city of Poland is Warsaw.
The capital city of Portugal	The capital city of Portugal is Lisbon.
The capital city of Puerto Rico	The capital city of Puerto Rico is San Juan.
The capital city of Qatar	The capital city of Qatar is Doha.
The capital city of Republic of China (Taiwan)	The capital city of Republic of China (Taiwan) is Taipei.
The capital city of Republic of the Congo	The capital city of Republic of the Congo is Brazzaville.
The capital city of Romania	The capital city of Romania is Bucharest.
The capital city of Russia	The capital city of Russia is Moscow.
The capital city of Rwanda	The capital city of Rwanda is Kigali.
The capital city of Saint Barthélemy	The capital city of Saint Barthélemy is Gustavia.
The capital city of Saint Helena	The capital city of Saint Helena is Jamestown.
The capital city of Saint Kitts and Nevis	The capital city of Saint Kitts and Nevis is Basseterre.
The capital city of Saint Lucia	The capital city of Saint Lucia is Castries.
The capital city of Saint Martin	The capital city of Saint Martin is Marigot.
The capital city of Saint Pierre and Miquelon	The capital city of Saint Pierre and Miquelon is St. Pierre.
The capital city of Saint Vincent and the Grenadines	The capital city of Saint Vincent and the Grenadines is Kingstown.
The capital city of Samoa	The capital city of Samoa is Apia.
The capital city of San Marino	The capital city of San Marino is San Marino.
The capital city of Saudi Arabia	The capital city of Saudi Arabia is Riyadh.
The capital city of Scotland	The capital city of Scotland is Edinburgh.
The capital city of Senegal	The capital city of Senegal is Dakar.
The capital city of Serbia	The capital city of Serbia is Belgrade.
The capital city of Seychelles	The capital city of Seychelles is Victoria.
The capital city of Sierra Leone	The capital city of Sierra Leone is Freetown.
The capital city of Singapore	The capital city of Singapore is Singapore.
The capital city of Sint Maarten	The capital city of Sint Maarten is Philipsburg.
The capital city of Slovakia	The capital city of Slovakia is Bratislava.
The capital city of Slovenia	The capital city of Slovenia is Ljubljana.
The capital city of Solomon Islands	The capital city of Solomon Islands is Honiara.
The capital city of Somalia	The capital city of Somalia is Mogadishu.
The capital city of Somaliland	The capital city of Somaliland is Hargeisa.
The capital city of South Africa	The capital city of South Africa is Pretoria.
The capital city of South Georgia and the South Sandwich Islands	The capital city of South Georgia and the South Sandwich Islands is Grytviken.
The capital city of South Korea	The capital city of South Korea is Seoul.
The capital city of South Ossetia	The capital city of South Ossetia is Tskhinvali.
The capital city of South Sudan South Sudan	The capital city of South Sudan South Sudan is Juba.
The capital city of Spain	The capital city of Spain is Madrid.
The capital city of Sri Lanka	The capital city of Sri Lanka is Sri Jayawardenapura Kotte.
The capital city of Sudan	The capital city of Sudan is Khartoum.
The capital city of Suriname	The capital city of Suriname is Paramaribo.
The capital city of Swaziland	The capital city of Swaziland is Mbabane.
The capital city of Sweden	The capital city of Sweden is Stockholm.
The capital city of Switzerland	The capital city of Switzerland is Bern.
The capital city of Syria	The capital city of Syria is Damascus.
The capital city of São Tomé and Príncipe	The capital city of São Tomé and Príncipe is São Tomé.
The capital city of Tajikistan	The capital city of Tajikistan is Dushanbe.
The capital city of Tanzania	The capital city of Tanzania is Dodoma.
The capital city of Thailand	The capital city of Thailand is Bangkok.
The capital city of Togo	The capital city of Togo is Lomé.
The capital city of Tonga	The capital city of Tonga is Nukuʻalofa.
The capital city of Transnistria	The capital city of Transnistria is Tiraspol.
The capital city of Trinidad and Tobago	The capital city of Trinidad and Tobago is Port of Spain.
The capital city of Tristan da Cunha	The capital city of Tristan da Cunha is Edinburgh of the Seven Seas.
The capital city of Tunisia	The capital city of Tunisia is Tunis.
The capital city of Turkey	The capital city of Turkey is Ankara.
The capital city of Turkmenistan	The capital city of Turkmenistan is Ashgabat.
The capital city of Turks and Caicos Islands	The capital city of Turks and Caicos Islands is Cockburn Town.
The capital city of Tuvalu	The capital city of Tuvalu is Funafuti.
The capital city of Uganda	The capital city of Uganda is Kampala.
The capital city of Ukraine	The capital city of Ukraine is Kiev.
The capital city of United Arab Emirates	The capital city of United Arab Emirates is Abu Dhabi.
The capital city of United Kingdom; England	The capital city of United Kingdom; England is London.
The capital city of United States	The capital city of United States is Washington.
The capital city of United States Virgin Islands	The capital city of United States Virgin Islands is Charlotte Amalie.
The capital city of Uruguay	The capital city of Uruguay is Montevideo.
The capital city of Uzbekistan	The capital city of Uzbekistan is Tashkent.
The capital city of Vanuatu	The capital city of Vanuatu is Port Vila.
The capital city of Vatican City	The capital city of Vatican City is Vatican City.
The capital city of Venezuela	The capital city of Venezuela is Caracas.
The capital city of Vietnam	The capital city of Vietnam is Hanoi.
The capital city of Wales	The capital city of Wales is Cardiff.
The capital city of Wallis and Futuna	The capital city of Wallis and Futuna is Mata-Utu.
The capital city of Western Sahara	The capital city of Western Sahara is El Aaiún.
The capital city of Yemen	The capital city of Yemen is Sanaá.
The capital city of Zambia	The capital city of Zambia is Lusaka.
The capital city of Zimbabwe	The capital city of Zimbabwe is Harare.
